Name;Path;Cmp;A/N;Description;MAK Status
ZCURRA;HFix_ZCURRA_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZCUSFD;HFix_ZCUSFD_CBR_C001929CBR002N;CBR;C001929CBR002N;Migrating from v10 to v13 : 45041 - 01/04 Schnittstelle MobiMedia Neupartneranlage;test
ZCUSFL;HFix_ZCUSFL_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZCUSFL;HFix_ZCUSFL_CBR_C001929CBR002N;CBR;C001929CBR002N;Migrating from v10 to v13 : 45041 - 01/04 Schnittstelle MobiMedia Neupartneranlage;test
ZFIIND;VFix_ZFIIND_CBR_C001567CBR014T;CBR;C001567CBR014T;GAP250 Entwicklung von Schnittstellen zum Finanzsystem;exported
ZFIINH;VFix_ZFIINH_CBR_C001567CBR014T;CBR;C001567CBR014T;GAP250 Entwicklung von Schnittstellen zum Finanzsystem;exported
ZGEURL;HFix_ZGEURL_CBR_C002055CBR001N;CBR;C002055CBR001N;Ticket # 103754 - CR 169: Generische Lösung für externe Links aus M3;development
ZICCUS;VFix_ZICCUS_CBR_C001918CBR002T;CBR;C001918CBR002T;Intercompany Invoicing - migration from 14.1.2;exported
ZICHIS;VFix_ZICHIS_CBR_C001918CBR002T;CBR;C001918CBR002T;Intercompany Invoicing - migration from 14.1.2;exported
ZICPCD;VFix_ZICPCD_CBR_C001918CBR002T;CBR;C001918CBR002T;Intercompany Invoicing - migration from 14.1.2;exported
ZICRAC;VFix_ZICRAC_CBR_C001918CBR002T;CBR;C001918CBR002T;Intercompany Invoicing - migration from 14.1.2;exported
ZIFINE;VFix_ZIFINE_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFINH;VFix_ZIFINH_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFINL;VFix_ZIFINL_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFINM;VFix_ZIFINM_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFINT;VFix_ZIFINT_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFLCK;VFix_ZIFLCK_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFOCE;HFix_ZIFOCE_CBR_T041282CBR023T;CBR;T041282CBR023T;Common Interface (Outbound) - consolidate events;development
ZIFORQ;VFix_ZIFORQ_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZIFOUT;VFix_ZIFOUT_CBR_T041282CBR019T;CBR;T041282CBR019T;Common Interface (Both) - migrate from 14.1.2;exported
ZILHED;HFix_ZILHED_CBR_C002044CBR001T;CBR;C002044CBR001T;Rechnungsliste;test
ZILLIN;HFix_ZILLIN_CBR_C002044CBR001T;CBR;C002044CBR001T;Rechnungsliste;test
ZITSUT;HFix_ZITSUT_CBR_C001639CBR001N;CBR;C001639CBR001N;42405: GAP33 Erweiterung Transportarten;test
ZITSUT;HFix_ZITSUT_CBR_C002054CBR003N;CBR;C002054CBR003N;#102060 — 35/04 SST: SCM-Teil 1 MEC Mapping;development
ZMANUF;HFix_ZMANUF_CBR_C001943CBR001N;CBR;C001943CBR001N;46947: Assignment of factories to suppliers;test
ZMCNOS;HFix_ZMCNOS_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMCODE;HFix_ZMCODE_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMCODE;HFix_ZMCODE_CBR_T101921CBR001N;CBR;T101921CBR001N;101921 : GAP1_2 interface MobiMedia M3 export - CodeTabellen (Chapter 1.4.5.);development
ZMCOSZ;HFix_ZMCOSZ_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMCUMM;mvx/app/pgm/customer;CBR;C001929CBR002N;Migrating from v10 to v13 : 45041 - 01/04 Schnittstelle MobiMedia Neupartneranlage;test
ZMCUST;HFix_ZMCUST_CBR_C001713CBR002N;CBR;C001713CBR002N;"Migrating from v10 to v13 : 44101 - CBR-GAP1_1 Schnittstelle MobiMedia Tabellen
";test
ZMCUST;HFix_ZMCUST_CBR_T102604CBR001N;CBR;T102604CBR001N;MobiMedia - Asynchronous jobs for data sync with staging DB and M3;development
ZMDFIMS1;mvx/app/pgm/customer;CBR;C002079CBR001N;#103925 — 01/12 SST: MobiMedia Artikelfeedback;development
ZMDFIMS2;mvx/app/pgm/customer;CBR;C002079CBR001N;#103925 — 01/12 SST: MobiMedia Artikelfeedback;development
